timestamp,x,y,z,rssi_a,rssi_b,rssi_c,rssi_d
2026-06-06T14:00:53,4,4,-1.0,-59,-57,-44,-52
2026-06-06T14:00:56,4,4,-1.0,-59,-57,-51,-56
2026-06-06T14:01:06,5,4,-1.0,-59,-57,-55,-56
2026-06-06T14:01:09,5,4,-1.0,-59,-57,-55,-56
2026-06-06T14:01:11,5,4,-1.0,-61,-57,-55,-56
2026-06-06T14:01:14,5,4,-1.0,-61,-56,-55,-56
2026-06-06T14:01:16,5,4,-1.0,-54,-56,-47,-56
2026-06-06T14:01:27,6,4,-1.0,-55,-56,-58,-57
2026-06-06T14:01:29,6,4,-1.0,-55,-56,-58,-57
2026-06-06T14:01:32,6,4,-1.0,-55,-56,-58,-57
2026-06-06T14:01:34,6,4,-1.0,-55,-56,-58,-57
2026-06-06T14:01:37,6,4,-1.0,-55,-56,-58,-57
2026-06-06T14:01:59,7,4,-1.0,-52,-56,-58,-57
2026-06-06T14:02:01,7,4,-1.0,-52,-56,-37,-57
2026-06-06T14:02:04,7,4,-1.0,-52,-56,-38,-57
2026-06-06T14:02:06,7,4,-1.0,-52,-56,-38,-57
2026-06-06T14:02:09,7,4,-1.0,-52,-56,-41,-57
2026-06-06T14:02:40,0,5,-1.0,-52,-56,-41,-57
2026-06-06T14:02:42,0,5,-1.0,-52,-56,-41,-57
2026-06-06T14:02:45,0,5,-1.0,-52,-56,-41,-57
2026-06-06T14:02:47,0,5,-1.0,-51,-56,-41,-57
2026-06-06T14:02:50,0,5,-1.0,-51,-56,-41,-67
2026-06-06T14:03:02,1,5,-1.0,-53,-56,-41,-67
2026-06-06T14:03:04,1,5,-1.0,-53,-56,-41,-67
2026-06-06T14:03:07,1,5,-1.0,-53,-56,-41,-67
2026-06-06T14:03:09,1,5,-1.0,-53,-56,-41,-67
2026-06-06T14:03:12,1,5,-1.0,-53,-56,-41,-67
2026-06-06T14:03:28,2,5,-1.0,-53,,-41,-67
2026-06-06T14:03:30,2,5,-1.0,-53,,-41,-67
2026-06-06T14:03:33,2,5,-1.0,-53,,-41,-67
2026-06-06T14:03:35,2,5,-1.0,-52,,-41,-67
2026-06-06T14:03:37,2,5,-1.0,-52,,-41,-67
2026-06-06T14:04:04,3,5,-1.0,-52,,-41,-67
2026-06-06T14:04:07,3,5,-1.0,-54,,-41,-55
2026-06-06T14:04:09,3,5,-1.0,-54,,,-55
2026-06-06T14:04:11,3,5,-1.0,-54,,,-59
2026-06-06T14:04:14,3,5,-1.0,-54,,,-59
